Name of part,Serial number,Description,Quantity,Link to Mouser page of part
PIC24FJ64GA002-I/SP,579-PIC24FJ64GA002SP,Microcontroller,1,https://eu.mouser.com/ProductDetail/Microchip-Technology/PIC24FJ64GA002-I-SP?qs=V%2FyyTCAHA4ChMHX5BWhjEA%3D%3D
WRL-17146,474-WRL-17146,Wi-Fi module,1,https://eu.mouser.com/ProductDetail/SparkFun/WRL-17146?qs=DPoM0jnrROXqYUXDsg9bzA%3D%3D
1-2199298-9,571-1-2199298-9,Microcontroller IC socket,1,https://eu.mouser.com/ProductDetail/TE-Connectivity/1-2199298-9?qs=fK8dlpkaUMumZ9haKKccEA%3D%3D
5-534206-4,571-5-534206-4,2x4 pin socket,1,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-534206-4?qs=sGAEpiMZZMvlX3nhDDO4AMj4tIXIvPkESQsdjzf%252Byk0%3D
910-HDR100IMP40MGVTH,HDR100IMP40M-G-V-TH,Male headers,1,https://eu.mouser.com/ProductDetail/Chip-Quik/HDR100IMP40M-G-V-TH?qs=Wj%2FVkw3K%252BMBASWNGaQOKpg%3D%3D
SLW-883935-2A-D,179-SLW-883935-2A-D,2 position 3 terminal slide switch,1,https://eu.mouser.com/ProductDetail/CUI-Devices/SLW-883935-2A-D?qs=1Kr7Jg1SGW%2Fv9j8ky6fn%2FQ%3D%3D
TS02-66-50-BK-100-SCR-D,179-TS026650BK100SCR,Normally opened button,1,https://eu.mouser.com/ProductDetail/CUI-Devices/TS02-66-50-BK-100-SCR-D?qs=A6eO%252BMLsxmQON%252BZSzpek2A%3D%3D
C0603C104J1RACAUTO,80-C0603C104J1RAUTO,0.1uF capacitor,3,https://eu.mouser.com/ProductDetail/KEMET/C0603C104J1RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHTmNywwGiI4w%3D
C1210C106M3PAC,80-C1210C106M3PAC,10uF capacitor,1,https://eu.mouser.com/ProductDetail/KEMET/C1210C106M3PAC?qs=sGAEpiMZZMukHu%252BjC5l7YQ38HUb3cWg1D8zc%2Fz7TS5g%3D
CRCW120610K0JNEA,71-CRCW1206J-10K-E3,10k resistor,2,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW120610K0JNEA?qs=ODaLBy2SlZEOPn1wGLt8vA%3D%3D
ERA-8AEB241V,667-ERA-8AEB241V,250 Ohm resistor,1,https://eu.mouser.com/ProductDetail/Panasonic/ERA-8AEB241V?qs=sGAEpiMZZMtlubZbdhIBINYapuLw0JH3fWy3etTRv%252BU%3D
